model,roc_auc,pr_auc,recall,precision,f1,brier,top5pct,top10pct,top20pct,top30pct,threshold
LR,0.6268,0.3235,0.4711,0.292,0.3605,0.2282,0.1222,0.2039,0.335,0.448,0.4955
LightGBM (default),0.6007,0.2998,0.4168,0.2813,0.3359,0.2085,0.1098,0.1834,0.3114,0.4214,0.4808
"LightGBM (tuned, train-only)",0.63,0.3324,0.3644,0.3271,0.3447,0.2178,0.1226,0.2028,0.3368,0.4532,0.5147
