group,n,estimated_delivery_days,freight_sum,freight_to_price_ratio,weight_sum,distance_km,n_items,approval_lag_hrs,carrier_pickup_lag_hrs,estimation_error
TP,3651,24.065613425925925,23.83,0.2855827867909331,950.0,554.7854789748812,1.0,0.4375,74.48527777777778,-7.060717592592592
FN,4099,20.323796296296297,18.02,0.2092737430167597,625.0,373.3825297470335,1.0,0.3772222222222222,27.550833333333333,-8.448101851851852
FP,8854,24.249756944444446,22.87,0.29024286759242757,800.0,590.2699945308536,1.0,0.45513888888888887,68.63319444444444,-11.157719907407406
