cluster,n_orders,broad_diss_rate,severe_diss_rate,avg_freight_sum,avg_price_sum,avg_freight_ratio,avg_weight_sum,avg_est_days,avg_distance_km,avg_n_items,pct_same_state
1,5926,0.293,0.201,70.091,462.156,0.264,15935.502,26.239,668.099,1.552,0.328
0,89642,0.205,0.123,19.633,115.253,0.311,1485.939,23.473,595.711,1.114,0.362
