split,n_orders,broad_positive_rate,severe_positive_rate,date_min,date_max
train,37639,0.2030872233587502,0.1175642285926831,2017-01-05 11:56:06,2017-11-30 23:36:03
validation,18981,0.2491965649860386,0.1585796322638427,2017-12-01 00:01:14,2018-02-28 23:57:55
test,38948,0.1989832597309233,0.1230871931806511,2018-03-01 00:00:00,2018-08-29 15:00:37
