K,inertia,silhouette
2,356958.8082846545,0.6994052375680254
3,295993.0414989333,0.5622414968777263
4,266830.58402541396,0.4362011565733523
5,242294.66369393392,0.43189668816542853
6,221311.7889005382,0.2853792921287196
7,206212.80407656438,0.27590453238672236
8,192621.98954094434,0.267260898321928
